User,Time,File,TrackErr,Correct,Answer,ScoreErr,Annoy,Difficulty,FreezeLen,MSE_0,MSE_1,MSE_2,MSE_3,Rot_0,Rot_1,Trans_0,Trans_1,Task,Index,Type,,,,,,,,,,464,,
1,2022-3-3-13:29:30,../QOE/FreezeTest/FreezeType_Reprojection/08A.txt,0,1,1,0,4,4,8,0.041849,0,0.040941,0.041609,0.021195,0.021195,0.001989,0.001989,1,1,Reprojection,,,,,,,,,,,,
1,2022-3-3-13:30:54,../QOE/FreezeTest/FreezeType_Reprojection/16B.txt,0,2,2,0,5,3,16,0.037918,0,0.038295,0.030319,0.023004,0.023004,0.00283,0.00283,1,2,Reprojection,,,,,,,,,,,,
1,2022-3-3-13:31:54,../QOE/FreezeTest/FreezeType_Reprojection/00A.txt,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,1,3,Reprojection,,,,,,,,,,,,
1,2022-3-3-13:32:29,../QOE/FreezeTest/FreezeType_Normal/16A.txt,0,3,3,0,4,4,16,0.010418,0.009701,0.024852,0.028615,0.004206,0.014762,0.000792,0.002127,1,4,Normal,,,,,,,,,,,,
1,2022-3-3-13:33:01,../QOE/FreezeTest/FreezeType_Normal/01A.txt,0,0,0,0,5,4,1,0.032394,0.031026,0.044429,0.027966,0.011706,0.011295,0.001052,0.001114,1,5,Normal,,,,,,,,,,,,
1,2022-3-3-13:34:08,../QOE/FreezeTest/FreezeType_Normal/04B.txt,0,1,0,1,5,3,4,0.030624,0.031065,0.041307,0.035206,0.017047,0.018127,0.001594,0.001971,1,6,Normal,,,,,,,,,,,,
1,2022-3-3-13:34:50,../QOE/FreezeTest/FreezeType_Reprojection/02A.txt,0,1,1,0,5,4,2,0.01743,0,0.018592,0.042163,0.007981,0.007981,0.000708,0.000708,1,7,Reprojection,,,,,,,,,,,,
1,2022-3-3-13:35:33,../QOE/FreezeTest/FreezeType_Normal/08B.txt,0,0,1,-1,4,4,8,0.007473,0.009752,0.045856,0.011217,0.003192,0.003232,0.001079,0.001212,1,8,Normal,,,,,,,,,,,,
1,2022-3-3-13:36:10,../QOE/FreezeTest/FreezeType_Normal/64B.txt,0,0,0,0,3,4,64,0.008829,0.008033,0.060472,0.016488,0.003442,0.006645,0.00159,0.001108,1,9,Normal,,,,,,,,,,,,
1,2022-3-3-13:36:41,../QOE/FreezeTest/FreezeType_Reprojection/04B.txt,0,0,0,0,5,3,4,0.034164,0,0.038333,0.055001,0.011844,0.011844,0.00118,0.00118,1,10,Reprojection,,,,,,,,,,,,
1,2022-3-3-13:37:11,../QOE/FreezeTest/FreezeType_Normal/32A.txt,0,0,0,0,4,4,32,0.015227,0.014847,0.03434,0.0228,0.012152,0.040842,0.002203,0.003677,1,11,Normal,,,,,,,,,,,,
1,2022-3-3-13:37:41,../QOE/FreezeTest/FreezeType_Reprojection/01B.txt,0,2,2,0,5,4,1,0.005922,0,0.005881,0.005565,0.002809,0.002809,0.000454,0.000454,1,12,Reprojection,,,,,,,,,,,,
1,2022-3-3-13:38:13,../QOE/FreezeTest/FreezeType_Normal/00A.txt,0,2,2,0,5,3,0,0,0,0,0,0,0,0,0,1,13,Normal,,,,,,,,,,,,
1,2022-3-3-13:38:47,../QOE/FreezeTest/FreezeType_Reprojection/64A.txt,0,2,1,1,3,4,64,0.006847,0,0.00819,0.023803,0.003647,0.003647,0.000266,0.000266,1,14,Reprojection,,,,,,,,,,,,
1,2022-3-3-13:39:17,../QOE/FreezeTest/FreezeType_Normal/02B.txt,0,1,1,0,5,4,2,0.024535,0.024076,0.035836,0.019013,0.009617,0.008885,0.000657,0.000593,1,15,Normal,,,,,,,,,,,,
1,2022-3-3-13:39:46,../QOE/FreezeTest/FreezeType_Reprojection/32A.txt,0,3,3,0,4,4,32,0.021818,0,0.023867,0.041976,0.008584,0.008584,0.000701,0.000701,1,16,Reprojection,,,,,,,,,,,,
2,2022-3-3-13:54:50,../QOE/FreezeTest/FreezeType_Reprojection/08A.txt,0,2,2,0,4,3,8,0.045341,0,0.04472,0.045415,0.022381,0.022381,0.002425,0.002425,1,1,Reprojection,,,,,,,,,,,,
2,2022-3-3-13:55:22,../QOE/FreezeTest/FreezeType_Reprojection/00A.txt,0,0,2,-2,3,4,0,0,0,0,0,0,0,0,0,1,2,Reprojection,,,,,,,,,,,,
